Ntriples,CommitTime (ms)
298211,209459
299147,209787
300136,210567
301114,211251
302122,211675
303076,212013
304023,212339
305030,213084
305952,213425
306903,213794
307896,214125
308901,214449
309896,215207
310865,215717
311826,216014
312835,216283
313798,216725
314727,218173
315693,218477
316644,218868
317607,219280
318558,220919
319558,221293
320510,221540
321499,223588
322444,223951
323412,224588
324368,225297
325353,225702
326365,226071
327311,226721
328275,227568
329254,227920
330215,228182
331126,228537
332077,228848
333087,229284
334052,229653
335063,229994
336060,230411
337020,230801
337980,231143
338958,231866
339931,233594
340918,233971
341881,234350
342839,235595
343828,235920
344801,236275
345737,236631
346705,236964
347674,237689
348620,238991
349608,239297
350614,239604
351588,241063
352556,241473
353557,242331
354471,242670
355490,242957
356444,243352
357426,244013
358380,244314
359389,244675
360360,245051
361310,245400
362232,246870
363230,247238
364187,248548
365111,248836
366117,249201
367145,249531
368167,250249
369131,250563
370094,250959
371051,251290
371979,251666
372944,252405
373940,252753
374961,254952
375879,255268
376816,255649
377793,256435
378820,256873
379810,257259
380776,257680
381771,258039
382727,258380
383683,259227
384625,259511
385618,259855
386568,260641
387551,261049
388512,261516
389497,261919
390446,262185
391413,262460
392388,263006
393341,263286
394377,263607
395318,263943
396274,264325
397189,265092
398140,265439
399096,265691
400094,265970
401071,266263
402040,266629
402976,267016
403901,267353
404878,267691
405870,268171
406827,268944
407790,269282
408751,269611
409737,269906
410720,270215
411706,270976
412684,271379
413663,271808
414628,272191
415638,272531
416590,272850
417548,273397
418474,273932
419427,274265
420382,274590
421323,274897
422272,275289
423255,276059
424256,276406
425215,276652
426171,276925
427124,277273
428101,279869
429076,280204
430023,280552
431005,280932
432008,281296
432953,282091
433936,282454
434948,283057
435829,283323
436836,283772
437809,284378
438785,284817
439777,285199
440719,285685
441638,286427
442589,286719
443565,286996
444562,287462
445535,287895
446518,288170
447471,288495
448442,289273
449363,289615
450310,290014
451288,290342
452262,291066
453275,291812
454261,292220
455242,292538
456218,292901
457169,293290
458082,293674
459039,294048
460032,294380
460999,294663
461966,294967
462917,295757
463899,296146
464925,296521
465945,296938
466897,297340
467846,298122
468762,298470
469744,298755
470741,299125
471702,299438
472629,299760
473580,301391
474472,301801
475491,302236
476454,302728
477402,303462
478354,303934
479294,304272
480249,304572
481213,307898
482208,308726
483205,309156
484210,309583
485170,310002
486092,310725
487049,311019
488000,311295
488943,311599
489896,312005
490851,312378
491881,313189
492811,313536
493767,313928
494711,314205
495635,314498
496572,315334
497524,315658
498444,317203
499394,317598
500367,319169
501331,319616
502283,320052
503238,320398
504189,320709
505164,321397
506141,321836
507092,322225
508061,322631
509043,322973
510023,323625
510991,324414
511951,324673
512876,324975
513779,325246
514737,326052
515708,326376
516717,326703
517664,327101
518644,327932
519603,328309
520525,329040
521500,329385
522404,329725
523350,330116
524327,330497
525316,331313
526312,331712
527266,332257
528273,332703
529289,333128
530285,334470
531265,334818
532228,335269
533170,335713
534186,338274
535146,338694
536140,339599
537108,340094
538082,340453
539030,341218
540052,341693
540979,342513
541977,342997
542948,343478
543889,343878
544842,344314
545805,344841
546807,345172
547742,345544
548731,346407
549688,346850
550645,347351
551597,347859
552601,348281
553543,349144
554463,349627
555404,349912
556407,350288
557374,350686
558338,351478
559336,351942
560335,352379
561296,352833
562244,353293
563183,354112
564144,354427
565125,354828
566083,356390
567008,356788
567967,357564
568934,357993
569883,358420
570835,358959
571827,359469
572785,359791
573780,360393
574760,360739
575718,361166
576708,361630
577659,362506
578644,362935
579625,363387
580592,363879
581520,364307
582535,365069
583444,365402
584401,367715
585379,368217
586398,368756
587404,369191
588418,369708
589440,370229
590395,370542
591333,370958
592296,372551
593251,372993
594257,373423
595244,374185
596243,374683
597204,376307
598183,376812
599115,377129
600108,377494
601074,377903
602019,378609
602964,378985
603906,379463
604923,379944
605915,380440
606869,381291
607861,381629
608793,382025
609823,382386
610788,382840
611758,383309
612714,383882
613669,384343
614649,384879
615578,385395
616556,386170
617487,386554
618477,386963
619473,387331
620467,388953
621446,389462
622389,390256
623334,390734
624331,391262
625314,391656
626304,392090
627281,392444
628259,392825
629207,393269
630139,393704
631126,394125
632083,394549
633054,395521
633988,395884
634961,398351
635898,398790
636830,399162
637818,400706
638818,401116
639796,401629
640775,402138
641718,403042
642695,403416
643633,403730
644613,404252
645581,404723
646495,405602
647450,406030
648422,406563
649417,407099
650391,407609
651354,408025
652303,408829
653266,409192
654252,409639
655209,410093
656137,411781
657113,412670
658076,413172
659119,413624
660043,413973
661017,414294
662017,415092
662987,415484
663989,415866
664950,416436
665902,417069
666893,417947
667886,418513
668817,418821
669782,419555
670757,420002
671686,420308
672680,420695
673634,421150
674574,421643
675543,423382
676501,423857
677480,424502
678425,424798
679431,425157
680401,425582
681401,426101
682387,426534
683332,427388
684306,427896
685268,430421
686240,430795
687202,431189
688175,431530
689140,431974
690057,432414
691040,432864
692028,433408
692994,434692
693942,435206
694938,435584
695906,435969
696904,436464
697808,436847
698729,437636
699685,438215
700613,438702
701605,439325
702550,439825
703503,440592
704413,440948
705336,441383
706296,441738
707277,442265
708268,443913
709254,444368
710234,444923
711231,445496
712232,445944
713198,446318
714168,446663
715108,447100
716126,447609
717110,448073
718061,448925
719041,449422
719998,449932
720999,451553
721942,451971
722930,452360
723908,453186
724893,453630
725857,454115
726878,454637
727814,455091
728772,456273
729736,456717
730680,457043
731640,457440
732625,457926
733598,458352
734589,458875
735542,461803
736482,462344
737480,464233
738461,464595
739431,465291
740347,465604
741322,465964
742329,466545
743295,467071
744280,467837
745229,468658
746193,469160
747144,469588
748104,471262
749040,471666
749992,472346
750964,472735
751930,473152
752876,473713
753837,474213
754748,475085
755705,475470
756672,475856
757644,477467
758654,479127
759631,479582
760574,480013
761571,480509
762560,480999
763550,481636
764513,481979
765489,482878
766440,483257
767414,483714
768401,484225
769396,484770
770336,485666
771302,486120
772280,486628
773210,487015
774177,487331
775165,487753
776133,488530
777100,490167
778091,490741
779037,491189
779990,491740
780953,492284
781904,492595
782920,492965
783889,493414
784817,493841
785809,496650
786754,497137
787727,497594
788665,498095
789664,498704
790595,499011
791553,499347
792523,499814
793521,500243
794458,500687
795399,501136
796373,502833
797424,503324
798381,503861
799361,504313
800296,504733
801244,505592
802242,505970
803201,506384
804177,506863
805162,507458
806117,507958
807065,509665
808043,509966
809000,510290
809989,510679
810941,511054
811927,512880
812851,513291
813803,513726
814809,515305
815809,515944
816802,516301
817790,516628
818797,517425
819796,517859
820755,518355
821718,518868
822717,519342
823703,519808
824707,520309
825652,520636
826609,521092
827588,521440
828550,523131
829492,523495
830472,523910
831433,525720
832392,526313
833315,526847
834260,528375
835264,531512
836217,539730
837208,541418
838136,541935
839073,542309
840060,545510
840992,545906
841911,546398
842948,546707
843911,547131
844852,549413
845797,552601
846746,552991
847721,553520
848728,553952
849746,555682
850672,556247
851672,556557
852644,556895
853610,558683
854630,559216
855582,559684
856539,560096
857520,561842
858511,563594
859527,565819
860487,566162
861460,566539
862452,566891
863424,568726
864437,569154
865396,570875
866306,571326
867266,572955
868219,573435
869164,573871
870131,574232
871083,574618
872042,575010
872985,576984
873920,580036
874912,580455
875923,580975
876882,584175
877837,584469
878818,585997
879815,586341
880755,588255
881703,589976
882681,590437
883624,592064
884618,594049
885595,596109
886503,600677
887512,601032
888498,601464
889448,602015
890415,603979
891402,604397
892357,604843
893336,608196
894335,608786
895277,612246
896284,615631
897266,618685
898208,620364
899210,620828
900196,623813
901174,625635
902149,628886
903109,631000
904046,632619
905041,635646
906009,637184
907002,638720
907978,640524
908953,643601
909940,645307
910892,645712
911858,647445
912818,649120
913788,650917
914800,652666
915761,653038
916699,656081
917683,658496
918643,660145
919609,660671
920549,661213
921565,662896
922492,664468
923456,666269
924407,667862
925380,669529
926382,671280
927370,674674
928334,676503
929291,678327
930234,680019
931203,681646
932150,684497
933106,686122
934034,687613
935038,689190
935983,690881
936962,697904
937908,699566
938875,701140
939773,704026
940728,704377
941671,704721
942621,706343
943568,709158
944519,713297
945505,714928
946454,717805
947373,719344
948339,720856
949328,722356
950291,723975
951226,725514
952165,727265
953147,728906
954149,730555
955168,734792
956112,736236
957119,738011
958075,738361
959057,741242
959967,742903
960907,744465
961864,746183
962871,747852
963841,749532
964813,751105
965776,752729
966779,755583
967723,757583
